yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
208610015,İBN HALDUN ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,16,"439,66777","475,59970",1.315,5.182,16,True
208610024,İBN HALDUN ÜNİVERSİTESİ,Eğitim Bilimleri Fakültesi,Rehberlik ve Psikolojik Danışmanlık,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,11,"383,09086","406,27856",23.545,52.769,11,True
208610033,İBN HALDUN ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,21,"439,24456","489,59661",80,1.204,20,True
208610078,İBN HALDUN ÜNİVERSİTESİ,Yönetim Bilimleri Fakültesi,İşletme,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,"412,58155","440,91032",4.918,18.205,9,True
208610087,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,13,"411,93986","446,33128",3.902,18.696,13,True
208610096,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,"426,77077","462,52412",2.184,9.535,9,True
208610103,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Tarih,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,11,"445,16282","478,24234",159,912,11,True
208610112,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Sosyoloji,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,"382,28526","406,81452",23.059,54.101,9,True
208610114,İBN HALDUN ÜNİVERSİTESİ,İletişim Fakültesi,Yeni Medya ve İletişim,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,13,"435,32592","464,69290",349,1.475,13,True
208610121,İBN HALDUN ÜNİVERSİTESİ,Yönetim Bilimleri Fakültesi,İktisat,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,"405,78543","426,91442",9.465,24.016,9,True
