yop_kodu,kullanilan_tercih_2025,bos_birakilan_tercih_2025,ortalama_kullanilan_tercih_2025
203210025,114.0,78.0,14.0
203210113,163.0,77.0,16.0
203210149,174.0,42.0,19.0
203210185,75.0,69.0,13.0
203210194,564.0,396.0,14.0
203210228,34.0,62.0,9.0
203210237,229.0,371.0,9.0
203210264,146.0,94.0,15.0
203210273,109.0,131.0,11.0
203210307,96.0,96.0,12.0
203210325,372.0,588.0,9.0
203210343,120.0,24.0,20.0
203210352,382.0,554.0,10.0
203210388,191.0,49.0,19.0
203210397,49.0,47.0,12.0
203210413,271.0,329.0,11.0
203210449,86.0,58.0,14.0
203210458,66.0,150.0,7.0
203210476,720.0,696.0,12.0
203210485,403.0,365.0,13.0
203210519,682.0,638.0,12.0
203210573,119.0,49.0,17.0
203210591,384.0,384.0,12.0
203210679,100.0,44.0,17.0
203210731,379.0,173.0,16.0
203210749,1978.0,1022.0,16.0
203210934,100.0,20.0,20.0
203210952,147.0,69.0,16.0
203210979,402.0,438.0,11.0
203211014,127.0,65.0,16.0
203211068,35.0,61.0,9.0
203211086,341.0,259.0,14.0
203211095,90.0,30.0,18.0
203211111,105.0,207.0,8.0
203211129,74.0,70.0,12.0
203211138,140.0,4.0,23.0
203211156,437.0,283.0,15.0
203211165,75.0,45.0,15.0
203211226,152.0,40.0,19.0
203211235,92.0,28.0,18.0
203211244,441.0,399.0,13.0
203211277,58.0,38.0,15.0
203211279,84.0,12.0,21.0
203211283,58.0,38.0,15.0
203211285,364.0,236.0,15.0
203211288,86.0,34.0,17.0
203211289,95.0,25.0,19.0
203211290,84.0,84.0,12.0
203211291,157.0,59.0,17.0
203211292,548.0,628.0,11.0
203211293,106.0,86.0,13.0
203211294,411.0,597.0,10.0
203211295,78.0,18.0,20.0
203211296,40.0,56.0,10.0
203211297,282.0,102.0,18.0
203211298,65.0,55.0,13.0
203211299,95.0,49.0,16.0
203211300,329.0,415.0,11.0
203211302,58.0,62.0,12.0
203211303,262.0,410.0,9.0
203211312,71.0,73.0,12.0
203211319,76.0,92.0,11.0
203211326,407.0,553.0,10.0
203211333,,,
203211347,254.0,82.0,18.0
203211354,290.0,214.0,14.0
203211361,141.0,195.0,10.0
203211368,161.0,55.0,18.0
203211382,44.0,28.0,15.0
203211389,105.0,111.0,12.0
203211396,22.0,2.0,22.0
203211403,409.0,383.0,12.0
203211410,,,
203211417,228.0,324.0,10.0
203211424,219.0,117.0,16.0
203211431,333.0,555.0,9.0
203211438,31.0,17.0,16.0
203211459,29.0,67.0,7.0
203211466,241.0,143.0,15.0
203211480,16.0,32.0,8.0
203211487,150.0,90.0,15.0
203211522,,,
203211585,,,
203211515,,,
203211599,,,
203211550,,,
203211529,,,
203211536,,,
203211578,,,
203211543,,,
203211494,,,
203211606,,,
203211564,,,
203211557,,,
203211592,,,
203211508,,,
203211571,,,
