yop_kodu,year,ortalama_tercih_edilme_sirasi_A,ortalama_yerlesen_tercih_sirasi_B,marka_etkinlik_degeri_A_div_B
202210028,2025,8.1,1.0,8.1
202210046,2025,7.6,4.0,1.9
202210064,2025,9.3,8.7,1.07
202210073,2025,7.9,2.0,3.95
202210082,2025,8.5,3.4,2.5
202210091,2025,6.5,2.9,2.24
202210152,2025,9.0,7.4,1.22
202210161,2025,5.3,2.6,2.04
202210188,2025,8.2,5.0,1.64
202210197,2025,6.5,2.2,2.95
202210213,2025,8.4,7.0,1.2
202210222,2025,6.5,2.4,2.71
202210249,2025,8.7,4.9,1.78
202210258,2025,6.0,2.1,2.86
202210320,2025,9.7,8.3,1.17
202210322,2025,5.4,2.5,2.16
202210329,2025,5.5,1.1,5.0
202210330,2025,4.9,2.2,2.23
202210333,2025,8.6,5.9,1.46
202210334,2025,5.0,2.6,1.92
202210335,2025,8.5,7.2,1.18
202210336,2025,6.5,4.0,1.62
202210338,2025,9.1,8.0,1.14
202210339,2025,7.2,4.4,1.64
202210340,2025,4.9,1.2,4.08
202210341,2025,3.9,2.4,1.62
202210342,2025,8.2,4.0,2.05
202210343,2025,5.1,2.4,2.12
202210344,2025,5.9,2.4,2.46
202210345,2025,4.4,3.1,1.42
202210346,2025,9.7,15.0,0.65
202210347,2025,5.2,2.2,2.36
202210348,2025,9.1,6.2,1.47
202210349,2025,6.2,3.1,2.0
202210350,2025,8.5,4.2,2.02
202210351,2025,5.7,3.6,1.58
202210358,2025,6.6,5.1,1.29
202210365,2025,5.4,4.6,1.17
202210372,2025,8.2,4.0,2.05
202210379,2025,6.2,7.3,0.85
202210386,2025,8.0,4.7,1.7
202210393,2025,4.8,4.1,1.17
202210400,2025,11.0,10.7,1.03
202210407,2025,10.7,11.4,0.94
